UnderlyingSymbol,UnderlyingPrice,Flags,OptionSymbol,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
A,40.55,*,A160115C00020000,call,01/15/2016,01/05/2016,20,0,20.3,21.35,0,0,0,2.7379,0,3.5454,0.9666,0.0042,-0.0707,0.0048,A160115C00020000
A,40.55,*,A160115P00020000,put,01/15/2016,01/05/2016,20,0,0,0.35,0,0,0,2.5042,0,2.8834,-0.0247,0.0036,-0.0503,0.0038,A160115P00020000
A,40.55,*,A160115C00022500,call,01/15/2016,01/05/2016,22.5,0,17.8,18.6,0,0,0,2.12,0,2.7546,0.9717,0.0047,-0.0477,0.0042,A160115C00022500
A,40.55,*,A160115P00022500,put,01/15/2016,01/05/2016,22.5,0,0,0.35,0,0,0,1.9787,0,2.4673,-0.0217,0.004,-0.0357,0.0034,A160115P00022500
A,40.55,*,A160115C00025000,call,01/15/2016,01/05/2016,25,11.3,15.3,16.1,0,50,50,1.7218,0,2.3464,0.9709,0.0059,-0.0397,0.0043,A160115C00025000
A,40.55,*,A160115P00025000,put,01/15/2016,01/05/2016,25,0.18,0,0.1,0,9,9,1.6318,0,1.6239,-0.0236,0.0053,-0.0316,0.0036,A160115P00025000
A,40.55,*,A160115C00027500,call,01/15/2016,01/05/2016,27.5,0,12.8,13.6,0,0,0,1.4045,0,1.9732,0.9672,0.008,-0.0357,0.0047,A160115C00027500
A,40.55,*,A160115P00027500,put,01/15/2016,01/05/2016,27.5,0.27,0,0.35,0,107,107,1.3741,0,1.7505,-0.0302,0.0077,-0.0327,0.0044,A160115P00027500
A,40.55,*,A160115C00030000,call,01/15/2016,01/05/2016,30,7.36,10.3,11.1,0,0,0,1.1483,0,1.626,0.9584,0.0119,-0.0355,0.0058,A160115C00030000
A,40.55,*,A160115P00030000,put,01/15/2016,01/05/2016,30,0.05,0,0.35,0,45,45,1.1298,0,1.4322,-0.0394,0.0116,-0.0334,0.0055,A160115P00030000
A,40.55,*,A160115C00032500,call,01/15/2016,01/05/2016,32.5,8.4,7.7,8.6,0,0,0,0.8709,0,1.2975,0.9514,0.0179,-0.0305,0.0065,A160115C00032500
A,40.55,*,A160115P00032500,put,01/15/2016,01/05/2016,32.5,0.06,0,0.23,0,524,524,0.9627,0,1.0112,-0.065,0.0203,-0.0424,0.0082,A160115P00032500
A,40.55,*,A160115C00035000,call,01/15/2016,01/05/2016,35,7.2,5.25,5.8,0,38,38,0.6013,0,0.7594,0.9428,0.0294,-0.024,0.0074,A160115C00035000
A,40.55,*,A160115P00035000,put,01/15/2016,01/05/2016,35,0.01,0,0.35,0,862,862,0.6412,0,0.8403,-0.0685,0.0318,-0.0294,0.0086,A160115P00035000
A,40.55,*,A160115C00037500,call,01/15/2016,01/05/2016,37.5,4.65,2.83,3.6,0,259,259,0.4404,0,0.6615,0.874,0.0725,-0.0317,0.0134,A160115C00037500
A,40.55,*,A160115P00037500,put,01/15/2016,01/05/2016,37.5,0.1,0.06,0.15,10,3948,3948,0.3701,0.3266,0.4136,-0.0884,0.0668,-0.0206,0.0104,A160115P00037500
A,40.55,*,A160115C00040000,call,01/15/2016,01/05/2016,40,1.13,1.03,1.15,29,30812,30793,0.3053,0.281,0.3296,0.6195,0.1924,-0.0404,0.0247,A160115C00040000
A,40.55,*,A160115P00040000,put,01/15/2016,01/05/2016,40,0.52,0.48,0.6,200,12901,13090,0.3053,0.281,0.3296,-0.3805,0.1924,-0.0404,0.0247,A160115P00040000
A,40.55,*,A160115C00042500,call,01/15/2016,01/05/2016,42.5,0.24,0.24,0.29,47,8720,8720,0.3523,0.3389,0.3656,0.2102,0.1263,-0.0353,0.0187,A160115C00042500
A,40.55,*,A160115P00042500,put,01/15/2016,01/05/2016,42.5,2.32,1.78,2.43,0,657,657,0.2994,0,0.4584,-0.8307,0.13,-0.0262,0.0164,A160115P00042500
A,40.55,*,A160115C00045000,call,01/15/2016,01/05/2016,45,0.1,0.05,0.16,5,34467,34462,0.4457,0.3865,0.5049,0.077,0.05,-0.0224,0.0094,A160115C00045000
A,40.55,*,A160115P00045000,put,01/15/2016,01/05/2016,45,4.48,4,4.85,0,6,6,0.3215,0,0.6689,-0.9772,0.0259,-0.006,0.0035,A160115P00045000
A,40.55,*,A160115C00047500,call,01/15/2016,01/05/2016,47.5,0.05,0.01,0.13,0,413,413,0.5395,0.4251,0.6539,0.0367,0.023,-0.015,0.0052,A160115C00047500
A,40.55,*,A160115P00047500,put,01/15/2016,01/05/2016,47.5,8.19,6.45,7.3,0,14,14,0.4025,0,0.8431,-0.9924,0.0081,-0.0029,0.0014,A160115P00047500
A,40.55,*,A160115C00050000,call,01/15/2016,01/05/2016,50,0.05,0.01,0.13,0,1249,1249,0.676,0.5417,0.8103,0.0298,0.0154,-0.0159,0.0044,A160115C00050000
A,40.55,*,A160115P00050000,put,01/15/2016,01/05/2016,50,8.6,8.95,9.75,0,0,0,0.5321,0,0.9832,-0.9922,0.0062,-0.0039,0.0014,A160115P00050000
A,40.55,*,A160115C00052500,call,01/15/2016,01/05/2016,52.5,0.14,0,0.38,0,7,7,0.9568,0,1.2134,0.0535,0.0175,-0.0362,0.0071,A160115C00052500
A,40.55,*,A160115P00052500,put,01/15/2016,01/05/2016,52.5,0,11.4,12.25,0,0,0,0.7103,0,1.1434,-0.9867,0.0074,-0.0084,0.0022,A160115P00052500
A,40.55,*,A160115C00055000,call,01/15/2016,01/05/2016,55,0.08,0,0.39,0,10,10,1.166,0,1.3749,0.0616,0.0161,-0.0493,0.0079,A160115C00055000
A,40.55,*,A160115P00055000,put,01/15/2016,01/05/2016,55,16.15,13.9,14.75,0,15,15,0.9371,0,1.2907,-0.9749,0.0096,-0.0191,0.0038,A160115P00055000
A,40.55,*,A160115C00060000,call,01/15/2016,01/05/2016,60,0.07,0,0.37,0,5,5,1.4055,0,1.6282,0.0515,0.0116,-0.0515,0.0068,A160115C00060000
A,40.55,*,A160115P00060000,put,01/15/2016,01/05/2016,60,22.3,18.9,19.95,0,20,20,1.5365,0,1.7478,-0.9295,0.0136,-0.0721,0.0088,A160115P00060000
A,40.55,*,A160219C00020000,call,02/19/2016,01/05/2016,20,20.5,20.3,21.15,0,0,0,1.149,0,1.5053,0.9753,0.0036,-0.0106,0.0082,A160219C00020000
A,40.55,*,A160219P00020000,put,02/19/2016,01/05/2016,20,0,0,0.36,0,0,0,1.1552,0,1.3313,-0.0252,0.0036,-0.0108,0.0083,A160219P00020000
A,40.55,*,A160219C00022500,call,02/19/2016,01/05/2016,22.5,0,17.55,18.65,0,0,0,0.8528,0,1.2932,0.9834,0.0034,-0.0056,0.0058,A160219C00022500
A,40.55,*,A160219P00022500,put,02/19/2016,01/05/2016,22.5,0,0,0.36,0,0,0,0.9861,0,1.1394,-0.0297,0.0048,-0.0106,0.0095,A160219P00022500
A,40.55,*,A160219C00025000,call,02/19/2016,01/05/2016,25,0,15.2,16.15,0,0,0,0.744,0,1.1025,0.977,0.0052,-0.0065,0.0077,A160219C00025000
A,40.55,*,A160219P00025000,put,02/19/2016,01/05/2016,25,0.04,0,0.37,0,7,7,0.8451,0,0.9732,-0.0368,0.0067,-0.0108,0.0114,A160219P00025000
A,40.55,*,A160219C00027500,call,02/19/2016,01/05/2016,27.5,12.9,12.85,13.65,0,0,0,0.6483,0,0.9288,0.9665,0.0081,-0.0077,0.0105,A160219C00027500
A,40.55,*,A160219P00027500,put,02/19/2016,01/05/2016,27.5,0.3,0,0.38,0,2,2,0.666,0,0.82,-0.0368,0.0086,-0.0085,0.0114,A160219P00027500
A,40.55,*,A160219C00030000,call,02/19/2016,01/05/2016,30,0,10.3,11.2,0,0,0,0.6029,0,0.7854,0.9381,0.0143,-0.0117,0.0172,A160219C00030000
A,40.55,*,A160219P00030000,put,02/19/2016,01/05/2016,30,0.16,0.03,0.1,0,41,41,0.4522,0.4073,0.4971,-0.0232,0.0086,-0.004,0.0078,A160219P00030000
A,40.55,*,A160219C00032500,call,02/19/2016,01/05/2016,32.5,0,7.95,8.75,0,0,0,0.4955,0,0.6458,0.9143,0.0224,-0.0124,0.0221,A160219C00032500
A,40.55,*,A160219P00032500,put,02/19/2016,01/05/2016,32.5,0.25,0.08,0.18,0,432,432,0.4026,0.3681,0.4372,-0.0498,0.0181,-0.0066,0.0145,A160219P00032500
A,40.55,*,A160219C00035000,call,02/19/2016,01/05/2016,35,2.65,5.45,6.45,0,12,12,0.414,0,0.5466,0.8626,0.0376,-0.0145,0.031,A160219C00035000
A,40.55,*,A160219P00035000,put,02/19/2016,01/05/2016,35,0.69,0.24,0.34,0,155,155,0.3632,0.3444,0.382,-0.1101,0.0367,-0.0109,0.0266,A160219P00035000
A,40.55,*,A160219C00037500,call,02/19/2016,01/05/2016,37.5,5.16,3.55,4.3,0,613,613,0.3747,0.2911,0.4583,0.7467,0.0604,-0.0191,0.0452,A160219C00037500
A,40.55,*,A160219P00037500,put,02/19/2016,01/05/2016,37.5,0.72,0.6,0.71,0,226,226,0.3282,0.3153,0.341,-0.2294,0.0654,-0.0159,0.0428,A160219P00037500
A,40.55,*,A160219C00040000,call,02/19/2016,01/05/2016,40,2,1.98,2.14,10,2318,2321,0.3165,0.3021,0.3309,0.571,0.0878,-0.0198,0.0555,A160219C00040000
A,40.55,*,A160219P00040000,put,02/19/2016,01/05/2016,40,1.55,1.39,1.5,3,916,916,0.3048,0.2949,0.3147,-0.4279,0.0911,-0.0191,0.0555,A160219P00040000
A,40.55,*,A160219C00042500,call,02/19/2016,01/05/2016,42.5,0.95,0.86,0.97,38,4885,4855,0.2975,0.2869,0.3081,0.3442,0.0876,-0.0175,0.052,A160219C00042500
