underlying,underlying_last, exchange,optionroot,optionext,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega,optionalias
VXX,28.95,W,VXX161202C00020000,,call,12/02/2016,12/01/2016,20,7.96,8.75,8.95,0,1,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00020500,,call,12/02/2016,12/01/2016,20.5,0,8.25,8.45,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00021000,,call,12/02/2016,12/01/2016,21,0,7.75,7.95,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00021500,,call,12/02/2016,12/01/2016,21.5,6.7,7.25,7.45,1,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00022000,,call,12/02/2016,12/01/2016,22,7.2,6.75,6.95,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00022500,,call,12/02/2016,12/01/2016,22.5,0,6.25,6.45,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00023000,,call,12/02/2016,12/01/2016,23,6.2,5.75,5.95,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00023500,,call,12/02/2016,12/01/2016,23.5,9.35,5.25,5.45,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00024000,,call,12/02/2016,12/01/2016,24,5.2,4.75,4.95,0,0,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00024500,,call,12/02/2016,12/01/2016,24.5,4.73,4.25,4.45,2,2,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00025000,,call,12/02/2016,12/01/2016,25,4.24,3.8,3.95,39,29,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00025500,,call,12/02/2016,12/01/2016,25.5,3.05,3.3,3.45,78,186,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00026000,,call,12/02/2016,12/01/2016,26,2.91,2.8,2.94,328,590,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00026500,,call,12/02/2016,12/01/2016,26.5,2.49,2.29,2.44,102,907,0.01,0,0,0,0,
VXX,28.95,W,VXX161202C00027000,,call,12/02/2016,12/01/2016,27,2,1.81,1.88,3585,3054,0.01,0,0,0,0,
