underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-06-01,VIX,2016-06-01,10.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,6,
^VIX,2016-06-01,VIX,2016-06-01,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,10.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,83,
^VIX,2016-06-01,VIX,2016-06-01,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,12.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,5,
^VIX,2016-06-01,VIX,2016-06-01,12.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,12.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,6,
^VIX,2016-06-01,VIX,2016-06-01,12.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,10,
^VIX,2016-06-01,VIX,2016-06-01,13.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,61,
^VIX,2016-06-01,VIX,2016-06-01,13.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,32,
^VIX,2016-06-01,VIX,2016-06-01,13.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,883,
^VIX,2016-06-01,VIX,2016-06-01,13.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1442,
^VIX,2016-06-01,VIX,2016-06-01,14.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,223,
^VIX,2016-06-01,VIX,2016-06-01,14.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,4479,
^VIX,2016-06-01,VIX,2016-06-01,14.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,2017,
^VIX,2016-06-01,VIX,2016-06-01,14.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,7369,
^VIX,2016-06-01,VIX,2016-06-01,15.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,2888,
^VIX,2016-06-01,VIX,2016-06-01,15.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,4697,
^VIX,2016-06-01,VIX,2016-06-01,16.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,5382,
^VIX,2016-06-01,VIX,2016-06-01,16.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,4599,
^VIX,2016-06-01,VIX,2016-06-01,17.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1558,
^VIX,2016-06-01,VIX,2016-06-01,17.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1102,
^VIX,2016-06-01,VIX,2016-06-01,18.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1537,
^VIX,2016-06-01,VIX,2016-06-01,18.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1764,
^VIX,2016-06-01,VIX,2016-06-01,19.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,5710,
^VIX,2016-06-01,VIX,2016-06-01,19.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,113,
^VIX,2016-06-01,VIX,2016-06-01,20.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,2586,
^VIX,2016-06-01,VIX,2016-06-01,20.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,87,
^VIX,2016-06-01,VIX,2016-06-01,21.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,497,
^VIX,2016-06-01,VIX,2016-06-01,21.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1,
^VIX,2016-06-01,VIX,2016-06-01,22.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,9713,
^VIX,2016-06-01,VIX,2016-06-01,22.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,3,
^VIX,2016-06-01,VIX,2016-06-01,23.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,325,
^VIX,2016-06-01,VIX,2016-06-01,23.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,1,
^VIX,2016-06-01,VIX,2016-06-01,24.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,188,
^VIX,2016-06-01,VIX,2016-06-01,24.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,25.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,223,
^VIX,2016-06-01,VIX,2016-06-01,25.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,26.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,43,
^VIX,2016-06-01,VIX,2016-06-01,26.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,20,
^VIX,2016-06-01,VIX,2016-06-01,27.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,45,
^VIX,2016-06-01,VIX,2016-06-01,27.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,150,
^VIX,2016-06-01,VIX,2016-06-01,28.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,443,
^VIX,2016-06-01,VIX,2016-06-01,28.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,29.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,29.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,30.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,2,
^VIX,2016-06-01,VIX,2016-06-01,30.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,30,
^VIX,2016-06-01,VIX,2016-06-01,32.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,20,
^VIX,2016-06-01,VIX,2016-06-01,32.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,35.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,27,
^VIX,2016-06-01,VIX,2016-06-01,35.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,37.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,12,
^VIX,2016-06-01,VIX,2016-06-01,37.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
